Gen A	Gen B	Winner	Strength
hsa:369	hsa:5894	Draw	0
hsa:369	hsa:673	Draw	0
hsa:369	hsa:5604	Gen A	2
hsa:369	hsa:5605	Gen A	2
hsa:369	hsa:5594	Gen A	8
hsa:369	hsa:5595	Gen A	8
hsa:369	hsa:3725	Gen A	7
hsa:369	hsa:2113	Gen A	7
hsa:369	hsa:3082	Gen B	17
hsa:369	hsa:4233	Gen B	16
hsa:369	hsa:5290	Gen B	1
hsa:369	hsa:5291	Gen B	1
hsa:369	hsa:5293	Gen B	1
hsa:369	hsa:5295	Gen B	1
hsa:369	hsa:5296	Gen B	1
hsa:369	hsa:8503	Gen B	1
hsa:369	hsa:10000	Gen A	5
hsa:369	hsa:207	Gen A	5
hsa:369	hsa:208	Gen A	5
hsa:369	hsa:572	Gen A	8
hsa:369	hsa:10298	Gen A	2
hsa:369	hsa:106821730	Gen A	2
hsa:369	hsa:5058	Gen A	2
hsa:369	hsa:5062	Gen A	2
hsa:369	hsa:5063	Gen A	2
hsa:369	hsa:56924	Gen A	2
hsa:369	hsa:57144	Gen A	2
hsa:369	hsa:998	Gen A	1
hsa:369	hsa:2549	Gen B	15
hsa:369	hsa:2885	Gen A	6
hsa:369	hsa:5781	Gen A	4
hsa:369	hsa:1398	Gen A	4
hsa:369	hsa:1399	Gen A	4
hsa:369	hsa:2034	Gen B	4
hsa:369	hsa:3091	Gen B	4
hsa:369	hsa:405	Gen B	4
hsa:369	hsa:9915	Gen B	4
hsa:369	hsa:1387	Gen B	4
hsa:369	hsa:2033	Gen B	4
hsa:369	hsa:7039	Gen A	8
hsa:369	hsa:5155	Gen A	8
hsa:369	hsa:7040	Gen A	6
hsa:369	hsa:7042	Gen A	6
hsa:369	hsa:7043	Gen A	6
hsa:369	hsa:7422	Gen A	8
hsa:369	hsa:6513	Gen A	8
hsa:369	hsa:112398	Gen B	7
hsa:369	hsa:112399	Gen B	7
hsa:369	hsa:54583	Gen B	7
hsa:369	hsa:6654	Gen A	7
hsa:369	hsa:6655	Gen A	7
hsa:369	hsa:5906	Gen A	7
hsa:369	hsa:5908	Gen A	7
hsa:369	hsa:2889	Gen A	6
hsa:369	hsa:5879	Gen A	1
hsa:5894	hsa:673	Draw	0
hsa:5894	hsa:5604	Gen A	2
hsa:5894	hsa:5605	Gen A	2
hsa:5894	hsa:5594	Gen A	8
hsa:5894	hsa:5595	Gen A	8
hsa:5894	hsa:3725	Gen A	7
hsa:5894	hsa:2113	Gen A	7
hsa:5894	hsa:3082	Gen B	17
hsa:5894	hsa:4233	Gen B	16
hsa:5894	hsa:5290	Gen B	1
hsa:5894	hsa:5291	Gen B	1
hsa:5894	hsa:5293	Gen B	1
hsa:5894	hsa:5295	Gen B	1
hsa:5894	hsa:5296	Gen B	1
hsa:5894	hsa:8503	Gen B	1
hsa:5894	hsa:10000	Gen A	5
hsa:5894	hsa:207	Gen A	5
hsa:5894	hsa:208	Gen A	5
hsa:5894	hsa:572	Gen A	8
hsa:5894	hsa:10298	Gen A	2
hsa:5894	hsa:106821730	Gen A	2
hsa:5894	hsa:5058	Gen A	2
hsa:5894	hsa:5062	Gen A	2
hsa:5894	hsa:5063	Gen A	2
hsa:5894	hsa:56924	Gen A	2
hsa:5894	hsa:57144	Gen A	2
hsa:5894	hsa:998	Gen A	1
hsa:5894	hsa:2549	Gen B	15
hsa:5894	hsa:2885	Gen A	6
hsa:5894	hsa:5781	Gen A	4
hsa:5894	hsa:1398	Gen A	4
hsa:5894	hsa:1399	Gen A	4
hsa:5894	hsa:2034	Gen B	4
hsa:5894	hsa:3091	Gen B	4
hsa:5894	hsa:405	Gen B	4
hsa:5894	hsa:9915	Gen B	4
hsa:5894	hsa:1387	Gen B	4
hsa:5894	hsa:2033	Gen B	4
hsa:5894	hsa:7039	Gen A	8
hsa:5894	hsa:5155	Gen A	8
hsa:5894	hsa:7040	Gen A	6
hsa:5894	hsa:7042	Gen A	6
hsa:5894	hsa:7043	Gen A	6
hsa:5894	hsa:7422	Gen A	8
hsa:5894	hsa:6513	Gen A	8
hsa:5894	hsa:112398	Gen B	7
hsa:5894	hsa:112399	Gen B	7
hsa:5894	hsa:54583	Gen B	7
hsa:5894	hsa:6654	Gen A	7
hsa:5894	hsa:6655	Gen A	7
hsa:5894	hsa:5906	Gen A	7
hsa:5894	hsa:5908	Gen A	7
hsa:5894	hsa:2889	Gen A	6
hsa:5894	hsa:5879	Gen A	1
hsa:673	hsa:5604	Gen A	2
hsa:673	hsa:5605	Gen A	2
hsa:673	hsa:5594	Gen A	8
hsa:673	hsa:5595	Gen A	8
hsa:673	hsa:3725	Gen A	7
hsa:673	hsa:2113	Gen A	7
hsa:673	hsa:3082	Gen B	17
hsa:673	hsa:4233	Gen B	16
hsa:673	hsa:5290	Gen B	1
hsa:673	hsa:5291	Gen B	1
hsa:673	hsa:5293	Gen B	1
hsa:673	hsa:5295	Gen B	1
hsa:673	hsa:5296	Gen B	1
hsa:673	hsa:8503	Gen B	1
hsa:673	hsa:10000	Gen A	5
hsa:673	hsa:207	Gen A	5
hsa:673	hsa:208	Gen A	5
hsa:673	hsa:572	Gen A	8
hsa:673	hsa:10298	Gen A	2
hsa:673	hsa:106821730	Gen A	2
hsa:673	hsa:5058	Gen A	2
hsa:673	hsa:5062	Gen A	2
hsa:673	hsa:5063	Gen A	2
hsa:673	hsa:56924	Gen A	2
hsa:673	hsa:57144	Gen A	2
hsa:673	hsa:998	Gen A	1
hsa:673	hsa:2549	Gen B	15
hsa:673	hsa:2885	Gen A	6
hsa:673	hsa:5781	Gen A	4
hsa:673	hsa:1398	Gen A	4
hsa:673	hsa:1399	Gen A	4
hsa:673	hsa:2034	Gen B	4
hsa:673	hsa:3091	Gen B	4
hsa:673	hsa:405	Gen B	4
hsa:673	hsa:9915	Gen B	4
hsa:673	hsa:1387	Gen B	4
hsa:673	hsa:2033	Gen B	4
hsa:673	hsa:7039	Gen A	8
hsa:673	hsa:5155	Gen A	8
hsa:673	hsa:7040	Gen A	6
hsa:673	hsa:7042	Gen A	6
hsa:673	hsa:7043	Gen A	6
hsa:673	hsa:7422	Gen A	8
hsa:673	hsa:6513	Gen A	8
hsa:673	hsa:112398	Gen B	7
hsa:673	hsa:112399	Gen B	7
hsa:673	hsa:54583	Gen B	7
hsa:673	hsa:6654	Gen A	7
hsa:673	hsa:6655	Gen A	7
hsa:673	hsa:5906	Gen A	7
hsa:673	hsa:5908	Gen A	7
hsa:673	hsa:2889	Gen A	6
hsa:673	hsa:5879	Gen A	1
hsa:5604	hsa:5605	Draw	0
hsa:5604	hsa:5594	Gen A	5
hsa:5604	hsa:5595	Gen A	5
hsa:5604	hsa:3725	Gen A	4
hsa:5604	hsa:2113	Gen A	4
hsa:5604	hsa:3082	Gen B	20
hsa:5604	hsa:4233	Gen B	19
hsa:5604	hsa:5290	Gen B	4
hsa:5604	hsa:5291	Gen B	4
hsa:5604	hsa:5293	Gen B	4
hsa:5604	hsa:5295	Gen B	4
hsa:5604	hsa:5296	Gen B	4
hsa:5604	hsa:8503	Gen B	4
hsa:5604	hsa:10000	Gen A	2
hsa:5604	hsa:207	Gen A	2
hsa:5604	hsa:208	Gen A	2
hsa:5604	hsa:572	Gen A	5
hsa:5604	hsa:10298	Gen B	1
hsa:5604	hsa:106821730	Gen B	1
